Name,Age,Nationality,Division,Position,G,PA,AB,R,H,Singles,Doubles,Triples,HR,XBH,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SF,IBB
Willy Adames,23.0,DR,AL East,SS,152,584,531,69,135,89,25,1,20,46,52,4,2,46,153,0.254,0.317,0.418,0.735,97,222,9,3,1,1
Danny Santana,28.0,DR,AL West,UTIL,130,511,474,81,134,77,23,6,28,57,81,21,6,25,151,0.283,0.324,0.534,0.857,112,253,8,6,5,2
Christian Vazquez,28.0,PR,AL East,C,138,521,482,66,133,83,26,1,23,50,72,4,2,33,101,0.276,0.320,0.477,0.798,103,230,17,0,3,3
Mike Moustakas,30.0,USA,NL Central,INF,143,584,523,80,133,67,30,1,35,66,87,3,0,53,98,0.254,0.329,0.516,0.845,114,270,12,6,2,5
Corey Seager,25.0,USA,NL West,SS,134,541,489,82,133,69,44,1,19,64,87,1,0,44,98,0.272,0.335,0.483,0.817,113,236,8,4,4,3
Kyle Schwarber,26.0,USA,NL Central,OF,155,610,529,82,132,62,29,3,38,70,92,2,3,70,156,0.250,0.339,0.531,0.871,123,281,6,5,6,5
Renato Nunez,25.0,VEN,AL East,DH,151,599,541,72,132,77,24,0,31,55,90,1,1,44,143,0.244,0.311,0.460,0.771,102,249,9,10,4,1
Max Kepler,26.0,GER,AL Central,OF,134,596,524,98,132,64,32,0,36,68,90,1,5,60,99,0.252,0.336,0.519,0.855,124,272,5,8,4,0
Ryan Braun,35.0,USA,NL Central,OF,144,508,459,70,131,76,31,2,22,55,75,11,1,34,105,0.285,0.343,0.505,0.849,116,232,15,8,3,1
Rhys Hoskins,26.0,USA,NL East,1B,160,705,570,86,129,62,33,5,29,67,85,2,2,116,173,0.226,0.364,0.454,0.819,112,259,10,11,6,6
Matt Olson,25.0,USA,AL West,1B,127,547,483,73,129,67,26,0,36,62,91,0,0,51,138,0.267,0.351,0.545,0.896,140,263,11,12,1,7
Colin Moran,26.0,USA,NL Central,3B,149,503,466,46,129,85,30,1,13,44,80,0,1,30,117,0.277,0.322,0.429,0.751,95,200,13,3,4,4
Jason Heyward,29.0,USA,NL Central,OF,147,589,513,78,129,84,20,4,21,45,62,8,3,68,110,0.251,0.343,0.429,0.772,101,220,12,5,3,5
Kole Calhoun,31.0,USA,AL West,OF,152,632,552,92,128,65,29,1,33,63,74,4,1,70,162,0.232,0.325,0.467,0.792,105,258,14,7,2,7
Yasmani Grandal,30.0,USA,NL Central,C,153,632,513,79,126,70,26,2,28,56,77,5,1,109,139,0.246,0.380,0.468,0.848,119,240,16,5,5,2
Adam Jones,33.0,USA,NL West,OF,137,528,485,66,126,84,25,1,16,42,67,2,1,31,101,0.260,0.313,0.414,0.728,86,201,15,8,3,2
J.D. Davis,26.0,USA,NL East,OF,140,453,410,65,126,81,22,1,22,45,57,3,0,38,97,0.307,0.369,0.527,0.895,136,216,14,3,2,2
Vladimir Guerrero Jr.,20.0,DR,AL East,UTIL,123,514,464,52,126,83,26,2,15,43,69,0,1,46,91,0.272,0.339,0.433,0.772,106,201,17,2,2,0
Eloy Jimenez,22.0,CUB,AL Central,OF,122,504,468,69,125,74,18,2,31,51,79,0,0,30,134,0.267,0.315,0.513,0.828,115,240,11,4,2,0
Ramon Laureano,24.0,DR,AL West,OF,123,481,434,79,125,72,29,0,24,53,67,13,2,27,123,0.288,0.340,0.521,0.860,130,226,7,11,8,0
Yolmer Sanchez,27.0,VEN,AL Central,2B,149,555,496,59,125,99,20,4,2,26,43,5,4,44,117,0.252,0.318,0.321,0.638,72,159,7,5,3,1
Franmil Reyes,23.0,DR,Multiple,OF,150,548,494,69,123,67,19,0,37,56,81,0,0,47,156,0.249,0.310,0.512,0.822,112,253,15,0,7,1
Brandon Belt,31.0,USA,NL West,1B,156,616,526,76,123,71,32,3,17,52,57,4,3,83,127,0.234,0.339,0.403,0.742,97,212,6,3,4,3
Brett Gardner,35.0,USA,AL East,OF,141,550,491,86,123,62,26,7,28,61,74,10,2,52,108,0.251,0.325,0.503,0.829,116,247,6,4,3,0
Jose Ramirez,26.0,DR,AL Central,3B,129,542,482,68,123,64,33,3,23,59,83,24,4,52,74,0.255,0.327,0.479,0.806,106,231,8,2,6,3
Max Muncy,28.0,USA,NL West,UTIL,141,589,487,101,122,64,22,1,35,58,98,4,1,90,149,0.251,0.374,0.515,0.889,133,251,5,8,4,1
